,MEAN,car,motor,rider,traffic light,traffic sign
AP,21.28735486860323,48.84044328133856,0.0,0.0,11.896189618961904,45.70014144271569
AP50,33.66663006491897,80.91297973610743,0.0,0.0,27.872787278727895,59.54738330975952
AP75,20.6968773800457,52.989337395278,0.0,0.0,0.0,50.495049504950494
